entry,target,stop,outcome,days,ret_pct,mae,symbol,sector,pattern,config,date,pole_gain
20137.84,23158.51,19130.95,OPEN,40,1.03,4.54,ACB,Banking,Flag Pullback,baseline,2024-07-03,5.85
20054.79,23063.01,19052.06,OPEN,40,2.07,4.14,ACB,Banking,Flag Pullback,baseline,2024-07-04,3.79
20179.36,23206.26,19170.39,OPEN,40,2.06,4.73,ACB,Banking,Flag Pullback,baseline,2024-07-05,4.86
20137.84,23158.51,19130.95,OPEN,40,1.65,4.54,ACB,Banking,Flag Pullback,baseline,2024-07-08,4.01
20179.36,23206.26,19170.39,OPEN,40,0.82,4.73,ACB,Banking,Flag Pullback,baseline,2024-07-09,3.12
20137.84,23158.51,19130.95,OPEN,40,1.44,4.54,ACB,Banking,Flag Pullback,baseline,2024-07-10,5.77
19515.02,22442.27,18539.27,OPEN,40,10.43,0.0,ACB,Banking,Flag Pullback,baseline,2024-08-15,3.55
19930.23,22919.77,18933.72,OPEN,40,7.71,0.21,ACB,Banking,Flag Pullback,baseline,2024-08-16,5.46
20553.05,23636.01,19525.4,OPEN,40,2.63,2.63,ACB,Banking,Flag Pullback,baseline,2024-11-04,5.38
20553.05,23636.01,19525.4,OPEN,40,4.24,2.63,ACB,Banking,Flag Pullback,baseline,2024-11-05,4.08
20843.7,23970.26,19801.52,OPEN,40,1.99,3.98,ACB,Banking,Flag Pullback,baseline,2024-11-06,6.49
20843.7,23970.26,19801.52,OPEN,40,0.0,3.98,ACB,Banking,Flag Pullback,baseline,2024-11-07,5.65
23000.0,26450.0,21850.0,LOSS,14,-5.0,5.65,ACB,Banking,Flag Pullback,baseline,2026-02-10,4.18
20137.84,23158.51,19130.95,OPEN,40,1.03,4.54,ACB,Banking,Flag Pullback,vol_filter,2024-07-03,5.85
20054.79,23063.01,19052.06,OPEN,40,2.07,4.14,ACB,Banking,Flag Pullback,vol_filter,2024-07-04,3.79
20179.36,23206.26,19170.39,OPEN,40,2.06,4.73,ACB,Banking,Flag Pullback,vol_filter,2024-07-05,4.86
20137.84,23158.51,19130.95,OPEN,40,1.65,4.54,ACB,Banking,Flag Pullback,vol_filter,2024-07-08,4.01
20179.36,23206.26,19170.39,OPEN,40,0.82,4.73,ACB,Banking,Flag Pullback,vol_filter,2024-07-09,3.12
20137.84,23158.51,19130.95,OPEN,40,1.44,4.54,ACB,Banking,Flag Pullback,vol_filter,2024-07-10,5.77
20553.05,23636.01,19525.4,OPEN,40,2.63,2.63,ACB,Banking,Flag Pullback,vol_filter,2024-11-04,5.38
20553.05,23636.01,19525.4,OPEN,40,4.24,2.63,ACB,Banking,Flag Pullback,vol_filter,2024-11-05,4.08
20843.7,23970.26,19801.52,OPEN,40,1.99,3.98,ACB,Banking,Flag Pullback,vol_filter,2024-11-06,6.49
20843.7,23970.26,19801.52,OPEN,40,0.0,3.98,ACB,Banking,Flag Pullback,vol_filter,2024-11-07,5.65
21881.73,25163.99,20787.65,LOSS,8,-5.0,8.35,ACB,Banking,Pennant Pullback,baseline,2025-03-24,4.18
21881.73,25163.99,20787.65,LOSS,8,-5.0,8.35,ACB,Banking,Pennant Pullback,trend_filter,2025-03-24,4.18
20594.57,23683.76,19564.84,LOSS,12,-5.0,6.65,ACB,Banking,Triangle Pullback,baseline,2024-07-18,4.97
21175.87,24352.25,20117.08,LOSS,29,-5.0,5.49,ACB,Banking,Triangle Pullback,baseline,2024-10-08,5.08
21798.69,25068.49,20708.75,LOSS,12,-5.0,5.33,ACB,Banking,Triangle Pullback,baseline,2024-10-09,3.57
21591.08,24829.74,20511.53,LOSS,3,-5.0,7.12,ACB,Banking,Triangle Pullback,baseline,2025-03-31,4.18
25100.0,28865.0,23845.0,LOSS,21,-5.0,6.37,ACB,Banking,Triangle Pullback,baseline,2025-11-13,5.48
24950.0,28692.5,23702.5,LOSS,20,-5.0,5.81,ACB,Banking,Triangle Pullback,baseline,2025-11-14,6.31
25100.0,28865.0,23845.0,LOSS,18,-5.0,6.37,ACB,Banking,Triangle Pullback,baseline,2025-11-18,3.75
21591.08,24829.74,20511.53,LOSS,3,-5.0,7.12,ACB,Banking,Triangle Pullback,trend_filter,2025-03-31,4.18
39114.86,44982.08,37159.11,LOSS,6,-5.0,8.98,BID,Banking,Flag Pullback,baseline,2025-03-26,4.04
48500.0,55775.0,46075.0,LOSS,3,-5.0,6.8,BID,Banking,Flag Pullback,baseline,2026-02-25,36.6
48450.0,55717.5,46027.5,LOSS,2,-5.0,6.71,BID,Banking,Flag Pullback,baseline,2026-02-26,31.98
47900.0,55085.0,45505.0,LOSS,1,-5.0,5.64,BID,Banking,Flag Pullback,baseline,2026-02-27,30.59
