entry,target,stop,outcome,days,ret_pct,mae,symbol,sector,pattern,config,date,pole_gain
9358.97,10762.82,8891.03,WIN,33,15.0,2.05,MSB,,Flag Pullback,baseline,2024-08-12,3.18
9262.82,10652.24,8799.68,WIN,31,15.0,1.04,MSB,,Flag Pullback,baseline,2024-08-14,3.86
9423.08,10836.54,8951.92,WIN,29,15.0,1.39,MSB,,Flag Pullback,baseline,2024-08-16,4.55
9487.18,10910.26,9012.82,WIN,28,15.0,2.06,MSB,,Flag Pullback,baseline,2024-08-19,3.45
10708.33,12314.58,10172.92,LOSS,2,-5.0,5.84,MSB,,Flag Pullback,baseline,2024-10-23,5.29
10291.67,11835.42,9777.08,LOSS,7,-5.0,5.26,MSB,,Flag Pullback,baseline,2024-10-24,11.01
9958.33,11452.08,9460.42,LOSS,6,-5.0,5.44,MSB,,Flag Pullback,baseline,2024-11-07,10.43
10000.0,11500.0,9500.0,LOSS,4,-5.0,5.0,MSB,,Flag Pullback,baseline,2024-11-08,9.96
9708.33,11164.58,9222.92,OPEN,40,-4.72,4.72,MSB,,Flag Pullback,baseline,2024-11-11,10.92
9750.0,11212.5,9262.5,LOSS,6,-5.0,5.13,MSB,,Flag Pullback,baseline,2024-11-12,9.91
9750.0,11212.5,9262.5,LOSS,5,-5.0,5.13,MSB,,Flag Pullback,baseline,2024-11-13,6.28
9666.67,11116.67,9183.33,LOSS,40,-5.0,6.47,MSB,,Flag Pullback,baseline,2024-11-14,4.76
9416.67,10829.17,8945.83,LOSS,40,-5.0,5.31,MSB,,Flag Pullback,baseline,2024-11-15,3.57
9041.67,10397.92,8589.58,OPEN,40,12.44,2.76,MSB,,Flag Pullback,baseline,2025-04-16,3.9
9083.33,10445.83,8629.17,OPEN,40,11.93,3.21,MSB,,Flag Pullback,baseline,2025-04-17,5.68
9291.67,10685.42,8827.08,LOSS,2,-5.0,5.38,MSB,,Flag Pullback,baseline,2025-04-18,3.95
9291.67,10685.42,8827.08,LOSS,1,-5.0,5.38,MSB,,Flag Pullback,baseline,2025-04-21,3.96
11850.0,13627.5,11257.5,LOSS,15,-5.0,8.86,MSB,,Flag Pullback,baseline,2026-02-09,3.2
9358.97,10762.82,8891.03,WIN,33,15.0,2.05,MSB,,Flag Pullback,vol_filter,2024-08-12,3.18
10500.0,12075.0,9975.0,LOSS,26,-5.0,7.14,MSB,,Pennant Pullback,baseline,2024-09-27,9.57
10875.0,12506.25,10331.25,LOSS,18,-5.0,5.36,MSB,,Pennant Pullback,baseline,2024-09-30,8.02
9625.0,11068.75,9143.75,WIN,32,15.0,0.43,MSB,,Pennant Pullback,baseline,2025-05-30,9.8
