pattern,config,signals,decided,win_rate,avg_days,avg_ret,avg_mae
Flag Pullback,baseline,746,615,19.2,11.3,-1.16,5.73
Flag Pullback,trend_filter,105,100,31.0,10.1,1.2,5.1
Flag Pullback,vol_filter,212,172,21.5,10.5,-0.7,5.66
Flag Pullback,combined,29,29,51.7,10.9,5.34,3.61
Pennant Pullback,baseline,298,259,33.6,13.5,1.72,5.12
Pennant Pullback,trend_filter,99,90,14.4,10.9,-2.11,6.17
Pennant Pullback,vol_filter,64,51,13.7,10.7,-2.25,5.98
Pennant Pullback,combined,18,15,0.0,4.8,-5.0,6.67
Triangle Pullback,baseline,461,417,29.5,11.4,0.9,5.03
Triangle Pullback,trend_filter,159,138,15.2,8.0,-1.96,5.87
Triangle Pullback,vol_filter,88,76,19.7,11.2,-1.05,5.34
Triangle Pullback,combined,15,12,8.3,7.4,-3.33,5.79
