symbol,sector,pattern,date,entry,pole_gain,ret_5,ret_10,ret_20,max_ret_20,win_20
ACB,Banking,Flag Pullback,2024-07-02,20137.84,5.85,0.0,1.03,1.24,3.51,True
ACB,Banking,Flag Pullback,2024-07-03,20054.79,3.79,0.0,2.69,-0.83,3.93,False
ACB,Banking,Flag Pullback,2024-07-04,20179.36,4.86,-1.23,3.29,-1.44,3.29,False
ACB,Banking,Flag Pullback,2024-07-07,20137.84,4.01,-1.24,2.06,-4.33,3.51,False
ACB,Banking,Flag Pullback,2024-07-08,20179.36,3.12,-0.82,-1.23,-3.29,3.29,False
ACB,Banking,Flag Pullback,2024-07-09,20137.84,5.77,1.03,-0.21,-3.51,3.51,False
ACB,Banking,Flag Pullback,2024-08-14,19515.02,3.55,3.83,4.89,2.77,5.53,True
ACB,Banking,Flag Pullback,2024-08-15,19930.23,5.46,1.87,3.33,2.08,3.33,True
ACB,Banking,Flag Pullback,2024-11-03,20553.05,5.38,0.4,-1.01,1.62,1.82,True
ACB,Banking,Flag Pullback,2024-11-04,20553.05,4.08,0.4,-1.82,1.01,1.82,True
ACB,Banking,Flag Pullback,2024-11-05,20843.7,6.49,-0.8,-2.39,-0.2,0.4,False
ACB,Banking,Flag Pullback,2024-11-06,20843.7,5.65,-2.19,-1.0,2.39,2.39,True
ACB,Banking,Flag Pullback,2026-02-09,23000.0,4.18,4.35,2.17,3.26,6.74,True
ACB,Banking,Pennant Pullback,2025-03-23,21881.73,4.18,-1.33,-15.94,-8.54,-0.19,False
ACB,Banking,Triangle Pullback,2024-07-17,20594.57,4.97,-3.02,-3.43,-5.24,1.21,False
ACB,Banking,Triangle Pullback,2024-10-07,21175.87,5.08,1.37,-0.39,-2.94,2.94,False
ACB,Banking,Triangle Pullback,2024-10-08,21798.69,3.57,-1.9,-3.24,-4.38,-0.19,False
ACB,Banking,Triangle Pullback,2025-03-30,21591.08,4.18,-14.81,-7.31,-7.5,0.19,False
ACB,Banking,Triangle Pullback,2025-11-12,25100.0,5.48,-1.2,-2.99,-4.58,0.2,False
ACB,Banking,Triangle Pullback,2025-11-13,24950.0,6.31,-1.0,-2.81,-5.81,0.8,False
ACB,Banking,Triangle Pullback,2025-11-17,25100.0,3.75,-3.59,-4.58,-4.38,-0.8,False
BID,Banking,Flag Pullback,2025-03-25,39114.86,4.04,-2.15,-12.26,-10.37,-1.14,False
BID,Banking,Flag Pullback,2026-02-24,48500.0,36.6,-5.98,-14.02,-18.56,-0.1,False
BID,Banking,Flag Pullback,2026-02-25,48450.0,31.98,-8.36,-15.89,-19.71,-1.14,False
BID,Banking,Flag Pullback,2026-02-26,47900.0,30.59,-9.08,-15.14,-16.81,-4.8,False
BID,Banking,Flag Pullback,2026-03-01,45200.0,36.54,-10.29,-10.84,-12.72,0.88,False
BID,Banking,Flag Pullback,2026-03-02,43550.0,35.22,-4.02,-7.12,-9.53,4.71,False
BID,Banking,Flag Pullback,2026-03-09,41800.0,6.08,-3.23,-6.46,,-0.24,
BID,Banking,Pennant Pullback,2024-08-11,38252.14,3.44,2.35,7.26,3.21,8.12,True
BID,Banking,Pennant Pullback,2024-08-12,38129.54,6.67,5.36,6.32,3.64,8.47,True
BID,Banking,Pennant Pullback,2024-08-13,38456.48,7.87,7.55,5.42,2.44,7.55,True
BID,Banking,Pennant Pullback,2025-05-29,35603.91,3.13,-2.08,-1.25,0.28,0.28,True
BID,Banking,Pennant Pullback,2025-06-01,35307.21,7.4,-1.26,0.42,1.68,1.68,True
BID,Banking,Triangle Pullback,2024-08-18,39151.23,3.44,4.8,2.19,2.4,5.64,True
BID,Banking,Triangle Pullback,2024-08-19,40172.92,6.67,0.92,-0.92,0.2,2.95,True
BID,Banking,Triangle Pullback,2024-08-20,41358.08,7.87,-1.98,-2.57,-3.06,-0.2,False
BID,Banking,Triangle Pullback,2025-06-05,34862.16,3.13,0.85,2.13,3.69,3.83,True
BID,Banking,Triangle Pullback,2025-06-08,34862.16,7.4,1.7,1.7,5.53,5.53,True
BID,Banking,Triangle Pullback,2025-11-13,38350.0,3.52,-1.96,-3.26,-3.52,0.13,False
CTG,Banking,Flag Pullback,2024-08-13,21730.08,5.43,7.55,9.75,9.75,11.64,True
